Following Athlete ID,Follow Status,Created At
3011199,Accepted,"Apr 25, 2014, 9:50:13 AM"
3685059,Accepted,"Apr 25, 2014, 9:50:15 AM"
3373999,Accepted,"Apr 25, 2014, 9:50:15 AM"
2180925,Accepted,"Apr 25, 2014, 9:50:16 AM"
2360529,Accepted,"Apr 25, 2014, 9:50:19 AM"
1988761,Accepted,"Apr 25, 2014, 9:50:20 AM"
4043998,Accepted,"Apr 25, 2014, 9:50:21 AM"
2573498,Pending,"Apr 25, 2014, 9:50:23 AM"
2983157,Accepted,"Apr 25, 2014, 9:50:30 AM"
813850,Accepted,"Apr 25, 2014, 9:50:30 AM"
1487465,Accepted,"Apr 25, 2014, 9:50:31 AM"
1039403,Accepted,"Apr 25, 2014, 9:50:32 AM"
1308309,Accepted,"Apr 25, 2014, 9:50:34 AM"
2594738,Accepted,"Apr 25, 2014, 9:50:34 AM"
1895609,Accepted,"Apr 25, 2014, 9:50:34 AM"
3076790,Accepted,"Apr 25, 2014, 9:50:35 AM"
544752,Accepted,"Apr 25, 2014, 9:50:37 AM"
908167,Accepted,"Apr 25, 2014, 9:50:37 AM"
3623102,Accepted,"Apr 25, 2014, 9:50:37 AM"
1008231,Accepted,"Apr 25, 2014, 9:50:40 AM"
720897,Accepted,"Apr 25, 2014, 9:50:40 AM"
3924966,Accepted,"Apr 25, 2014, 9:50:40 AM"
2642004,Accepted,"Apr 25, 2014, 9:50:40 AM"
2581965,Accepted,"Apr 25, 2014, 9:50:42 AM"
2308617,Accepted,"Apr 25, 2014, 9:50:43 AM"
2303179,Accepted,"Jul 13, 2015, 8:07:29 PM"
11859217,Accepted,"Oct 22, 2015, 7:24:46 PM"
10253068,Accepted,"Jul 19, 2016, 5:57:31 PM"
54073,Accepted,"Sep 23, 2016, 8:37:36 PM"
21216295,Accepted,"Apr 16, 2017, 7:38:53 AM"
16933222,Accepted,"Apr 16, 2017, 7:38:59 AM"
21207394,Accepted,"Apr 16, 2017, 7:39:06 AM"
21019617,Accepted,"Apr 16, 2017, 7:39:13 AM"
20972077,Accepted,"Apr 16, 2017, 7:39:20 AM"
21207320,Accepted,"Apr 20, 2017, 7:37:46 PM"
10511519,Accepted,"Apr 20, 2017, 7:44:19 PM"
9423399,Accepted,"Apr 20, 2017, 7:44:20 PM"
4919246,Accepted,"Apr 20, 2017, 7:44:20 PM"
2497836,Accepted,"Apr 20, 2017, 7:44:20 PM"
