,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_temp,average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,average_cadence,weighted_average_watts,max_watts
0,2,Morning Ride,23795.3,3110,3240,174.0,Ride,10.0,5870231583,garmin_push_7388387381,6241487702,2021-08-29T07:27:42Z,2021-08-29T09:27:42Z,(GMT+01:00) Europe/Brussels,7200.0,"[50.505032, 5.143387]","[50.505029, 5.143603]",,,The Netherlands,50.505032,5.143603,1,10,0,1,0,False,False,False,False,followers_only,False,b8041198,False,6241487702,7.651,18.5,14.0,140.0,435.3,False,True,136.8,179.0,False,True,219.2,71.8,0,0,False,30.0,4591892,1,a5870231583,mggsHcqk^l@fK`@zDbAjHf@xCp@vDx@dGXdCXhFFl@@`AD`Al@vGVpBj@dDr@fDn@bCzDvNNd@`DtIzAfFdAfEx@rDbEjQf@pCf@lDpDhUvC|PjA`IhBpNRhAF~@dB~PJf@d@lBBp@~Ch[NpAf@fB?ZCJIHaFdBeAXk@AcBo@MK}@mA}@s@w@U]CwAJUJ_Ar@S^Ut@Id@M~AGfBKFGEOe@IK[UKUKEISSSKQKGE@Ef@i@e@_@KIWGs@IgCEAMBUPaCrBWF_Am@aN}DcPcGmIgD}CiAg@Mq@CyMJmBCu@Om@S{@i@o@m@eAyAKUSm@_@oA]}A_Eg`@[gBa@eAQYaCaDw@oAk@mAy@_AyAm@SQO[cAcDaCkJmDqMg@gBOUiAPKCy@y@YK[BcCv@]FM?MIIOOkC]yCi@qDQ{Ae@aC_AaEgBsIOe@sByDi@cBy@sA}CuDwD}Ec@e@KC[Lg@h@_@HyBu@mCs@eD]gAAi@Pe@^cEvEq@`AYHSOw@_Fe@_Bu@qAsByCm@aAi@iAaAgCo@oBi@wCWu@cBcC]o@u@cBk@kBuAqG}@_FiAeHWu@qCcFoB_D}CyFwGeLmOiXqEyHOWCMAOF[vAcD`BcE`AsC`@{BLwALoBZkH`Coc@DcBAoAcAc`@AiADiDp@un@\aYJaERsFLcB\eEt@}Fp@mD^_Bz@eDpC{IlFwQzLga@zByHf@iCTyA\}DHeBBwCAcBCaBw@cLCcCH_CHmAL{@Ng@b@_@Pa@@U?o@Fg@hBaGv@qBjAoCjBaDvBsCtAyAx@u@p@c@z@a@~I_DvFiB|@[z@a@lA}@fAmAX_@~AoCx@{ARg@`@kBN]BQAQEOIKKAkBZSCASp@u@?E]}AYmBISUAe@mCGAi@fA_A~Bs@tByArFa@vB]tBg@dFUvEQlE@dAVzFvAhMvAbLb@rCt@~DbDpNrAjHbB|Lp@vCt@zB\v@t@dAv@~@jBnCt@`A~A|AdBx@xBf@vA`@bBt@TPPVXr@p@|@n@`AjCxEXr@lBjG\hBXxBlAjQ`AlMNvA?l@Ej@JpBb@fFn@hJTrCb@nD\jCj@nD`Lzk@v@dFt@~F\nDd@jG^nEzD~g@pAvOHtALpAp@rIf@fDhAvEr@lB`AjAbAd@bCr@~Cr@fEpAhAx@|@pAHNNj@p@xD`@dDRhF,2,,,
1,2,Morning Ride,123946.0,16332,26438,1144.0,Ride,10.0,5867003851,garmin_push_7384967374,6238083949,2021-08-28T07:29:26Z,2021-08-28T09:29:26Z,(GMT+01:00) Europe/Brussels,7200.0,"[50.505048, 5.143544]","[50.505042, 5.143785]",,,The Netherlands,50.505048,5.143785,2,36,0,1,0,False,False,False,False,followers_only,False,b8041198,False,6238083949,7.589,15.9,18.0,144.6,2361.4,False,True,134.8,179.0,False,True,279.6,71.0,1,2,False,157.0,4591892,1,a5867003851,oggsHcrk^dNzpAzZtjAzLjv@lW|fC~@jsBmBfCaTldBpAd~@hMf{@v[z|@hYrTtA}B~h@fe@|P|TfBOpTt^vJtYbB~ThBEhAvVnDY`BsFbAy`@pVx@nMiLxIzE|C}@zS}YfAoXjByGpDoB`c@|QzCiCnA_QxGyA|MfJjSp^rWyFxA{IiAq\lKeN~U}UlJiRtKhE|QhRzGfBdEfKtGpBvMva@lKhKhv@lEjr@`i@tHbOnDsAjMfSbDMeBj@j@dCz^mMpH`CbEdGnOrt@T|TrDjPrFbdAyC|UdLdbCmDzQ?fe@hF`rCoEhp@oLne@iFn@kI|LgG`@yEhFyOR{KdHwFt|@}oBkXiYeKa]jBG{u@vDibAPgx@yDrJsB{_@j@cS}BuHoEg^dCeFkAoDgBjFxGcSoAs[_PsP_No^ga@otAkK_o@{Roi@gMctD_Iga@cMoPcPmIkGkWOwHdH}WxA}V}BgMTea@mBgSv@y[kG}YcGgs@kEmJoPk@wMgL_[sGwIbB}I}Y}_@up@cMkM}FcTgq@_o@yXq{@eK{L}L`@qB_Hqi@vL|Au@eDkBiIox@}PciAg\eoAsLugAM_FxL~lAl\`pAfQ|jA`Ibx@lD`B}LfDmMcEcF|X}JuDaKfC_FdHoCnOwK~NwAiMy`@sBcUyKsTuXmIch@qZakAoWa\uLi`@gBdFcSlMkSrHgWh]}Llo@{StV}G~E}@aDwHnHd@|NiKtAmTfOe]rHqNdVwEnTip@fm@{\fGyFcEyDl@kFmJiDbA_HmLgFa{@wP{k@bMyPbGaPlFsy@rJee@_CgcAjKyNhOoy@fFst@|HsVzEc^@qL|D}GlI?dNqLiAqPzF_IvCu]hE{MpFc@xJ|LnKsG~JFtO}PhF{LtN_PfJan@eRmj@qKmq@JaMx\qr@p@yJfFwOlD_BneBjS|UaZxFuCxCwb@jI_OhNiLhKu[fLcEzN`Hv_@_CMtWdG`Hle@qTzXqZ`FbGp@|XrExIxHxBbHmB`FeHjAuOaMeoAr@iSdKaPhe@}JzWye@pJ{BsHo_@oLiw@S{g@~EsNiPsfAkEal@cLid@uEuIyL{e@}PfWkJ|GaQb[{N|o@sTjeBrEhZvFjNqCdh@gYng@{Qtf@iWjbAsB`VmIjG{FoJcHnENdIzKtRf@jGiPpGwAvDjTdZvAfd@_C`PyJbIsRnAmNjIwMtWmDnYrClc@fQv_AnJlMrMtFtK~TrIphAbR`fAlOngBvDfJvR|GnDjT,2,,,
2,2,Morning Ride,102808.0,14670,18748,1482.0,Ride,10.0,5861596001,garmin_push_7379121127,6232383682,2021-08-27T08:42:25Z,2021-08-27T10:42:25Z,(GMT+01:00) Europe/Brussels,7200.0,"[50.505049, 5.143621]","[50.505015, 5.143413]",,,The Netherlands,50.505049,5.143413,10,46,0,1,0,False,False,False,False,followers_only,False,b8041198,False,6232383682,7.008,19.3,16.0,142.0,2082.7,False,True,137.4,182.0,False,True,331.2,71.0,10,1,False,160.0,4591892,1,a5861596001,oggsHsrk^uC}SsSiIuEwMwMm`B{Q_eAqJ{lAwKsUaM}EoJoMgO}t@{Em`@KeLzBoUtGuRbA~AtOsM~@~CcHzNtCnLzLpQha@{RtGq@VmI|QiIrz@riAnk@pAtf@hu@~UnN~FsTtMyWb\b@|TgOlHvIpX~p@zHjIvCo@~X~M|NlAfIsDnMdM?cPfYg\{Dm[v\e]lL{PnEaLvB{PbDaIdFmEkC_J|@oClMv@pMjGfe@wD~ZwLrg@tIzKiCtl@nAdSwGfC|D|CcBbUnG|XaFlNqJnV`@tGwZ}Giu@bO_^n@wFvXgi@cDkTeWgv@sYob@cN}^o[aa@gXoh@aO{M_i@etAqLcRhR{]|Joi@xSuYtEeLpJyG`Zqe@jD_KpJ{HqAoGpADo@yDt@gCqGiLqB{PmCeHtGo]V}[rEuh@q@oPr@iIhCwOrMa]hL}OlOwJlSuUjSoDhSwJnF|CvMwDrLoMbh@s^rBfAnIwLjDwCtAcHbKw@hZ}ZpCeKnIyMwAqbAyBsc@`AqWsXg{@~^i_@`QeJdKkViJ_d@uKeWq@sOeQxBqIwIkCi\eFmIeIhH_IaKkIgBkAoGoDwAuUOkKuGaNy@wIgEcWhWD`h@kIhPmFdEG|SqEsCwB`BcAlS_I{HwJxGgAjQmDzB~DwCXiOrIaH~BK`DfGfBZZiQrC{CjEhCD}R~HqIwHbIMlSqEqC{BbCm@pRiJmH}J`IGvMgAhCw_@vFzApYgHfIeDv@]hZxCrMsEtG{@~L{FPvBxKtAf\eCvAwCcDuAvGoLpGga@rt@_HbTsDpR_RpSpJd^{Bpp@q}@~nAwHzg@u\`}@oVdbB{ZtoBkJiVkGiE}IbBqGdKwUlr@sAvU`Dt_@a@fFeGhO{BdUqDrJuJlJsNz^~@la@WdLmBE{@vD|CbL{E|ReBAqCuE`EzF~C}EfB^jC|OxJbXvIdLxCbXrLpWq@zKpHv`@rXvc@JjDuLdTij@|j@yAhIFvIqHfOiWfIsRiEoE_IqG_AiHaHoFwLeEkRsEsGyEmAyKa]}IuQaIm`@_CoB{GxDbCdRa@~KjBlW}BbMs[gFaBn@}AdHzEbYSrZzGo@vKbo@tXeDnCfQPtCgDnFpClQmAfExLpb@mBvFm\hTEhI~G|I~Xxq@fIxIn|@teC}QvLwInPcB|FAlTwDfh@wQtVyG|D|IpMjPla@Dh}@hFpPbEfBpBxEwFhCgb@hh@wCUcQ}MaPjCkIvKaEdJmDxMmMn@wH~RsTtKaOcJka@|A_WtHsCbEaGnB_EgPoNst@yRir@eMomA,2,,,
3,2,Evening Ride,34142.7,3848,3873,52.0,Ride,10.0,5846902185,garmin_push_7363412445,6217066798,2021-08-24T17:51:35Z,2021-08-24T19:51:35Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.218582, 6.574094]","[53.218926, 6.575022]",,,The Netherlands,53.218582,6.575022,23,14,0,1,0,False,False,False,False,followers_only,False,b8041198,False,6217066798,8.873,12.2,15.0,166.3,639.9,False,True,151.9,170.0,False,True,11.0,-1.2,6,0,False,83.0,4591892,1,a5846902185,mjycIiubg@iAb@oBlAaBlAaE|D}C~N_A~GU`AkElFiJ`OiBpBy@K}Bl@u@eCiBiEaCqHsBgFyBqGOUWJs@fAYz@O`Bk@fBw@lBqDtKURwNqKeHkEk@i@_A}AgBs@_@JuBfBI`@{AlC_@pBa@|FeCpTDl@TZrAi@JHLh@GpIUx@SLg@]cH|@qBf@sRxHkKjFyKtEW\Ol@[xED`CFRzB^fKzCxB^VTJd@Gt@_GvWaKze@gFvWe\~~AuSndAeAlBm@\cALOTLhMiBxMi@nFm@rBQz@EhByA`R}Etx@Of@a@HqDoCuDuAyGcDaGoAmE_@gA[eAkAkDuHmEqIsC}A_D_CuAi@eVoCkFaAuGkDoBaC]O}EbBgDBaHr@_Dn@[TWb@iElLmGjEkBZaBAqF{AmI|@qDp@qOQaA~@{AbDYZwOpEkIL}EtAYEUYaA{Ba@i@_@EuBdAWGOc@@kCEo@Ua@[IwFfCwAZw@z@oDVeDbAKVRzDOzHMp@YVwKhCq@p@Ud@c@pBMjAQrDaBtSAhBP`BpBvHpBpEd@|C|@~I@zEc@~`@RxEVxBNb@LBfBqAbEkB|E_@j@PZ~DJl@NN^B~Bq@tAOdE@nBM~FkAbFM\Y`B}D\_@hB}@bB}Bt@eDVm@|@aAjCgAb@PjApGTn@vArBfEvCbBj@d@C|@s@zEwGVkAl@_GTk@b@MlD`Bx@H^Iz@eApGoCrDZtGDfH_@rEvD`B|@lPzBzDaAjNgApEqBZNtFxH|H|KrApBVn@r@`DrChOrD`T`AvIPp@^V\K`F_Gb@aArDuLTa@\WnBJ~GtCp@F|L_BDg@NwV{@qG?s@^kBLaBh@yBHw@ZuO\w[IoA_@}BuBmGmAcGUcBKuCLoD~@cGhB}T|Fg_AdAuM@gBFULUZErC`A^E^g@^cAb@e@pGgDlBcBb@_A~DkLxJoUjFyPd@y@veBozAz@iBAi@w@qH@q@~GsDbAmAfDmGhAw@dDOnBi@pBaAlDcDtGcELODg@?_Aj@_@p@p@Z@pK}Hv@_AdAoBz@c@t@s@j@{AfDcFhBmAbAoAdAmCDq@Q}BDm@XUpAGz@a@hAiBtBgEr@sD\wFEwF_@mCo@}HEaIHcCfAmJ?mDRi@h@]QgCBg@Rw@x@sAE[QQoAjAYG]{@aDmLmI_c@k@mGn@}FEMiAkAiB{CcBsAIMAo@`AmB~IgT~GmKl@i@,2,,,
4,2,Afternoon Ride,31300.8,4174,4816,30.0,Ride,10.0,5840372803,garmin_push_7356366492,6210273990,2021-08-23T15:11:56Z,2021-08-23T17:11:56Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.220731, 6.575249]","[53.218862, 6.574798]",,,The Netherlands,53.220731,6.574798,8,14,0,1,0,False,False,False,False,followers_only,False,b8041198,False,6210273990,7.499,13.1,20.0,117.4,489.8,False,True,117.2,151.0,False,True,11.0,1.0,2,0,False,14.0,4591892,1,a5840372803,qtycIgfcg@kCdE}AhDcIfSkBpFoAnCQp@ULSQqDgLoCqHWOe@LeBbCg@^M@GIoCsHiAmCaAmCMKSFa@\iA~AbA}A^GXWBQCQ{AgEEYL]lQoVxDoFn@gArEkGrD{Dr@_@x@eAf@c@fAo@T?nFtC^Ej@e@LUAc@G[oBwJuK_f@y@uBi@m@q@]qBu@UBmI|Gu@p@Yj@a@`@iAx@YOg@g@_@{B{@iCEg@Dm@La@P_@hEkFpAiAJ]RgDd@yB@sAgB{MWeAMyAoHml@eBoMi@wE]wB{Dw[q@iFe@kCiBuN]}Da@mDqDqWcGwd@WsAe@oBWoBK]MC}C|B{G~CqLlDwBr@kBz@eGtD_DdBMYCO_Jar@w@qFGQa@c@UBoCtAi@?UQ{E_J_OkYaI}Oe@u@SA{FpB{AnAaAZaIjAmMb@yMhBsEd@gB@mAL}Bb@_DtAUC[c@yCmFqJqRqG{Lc@QmDb@eAGm@g@qD{HYQaAJsD]}BYWUu[mp@USa@RaE`Ii@z@wBpBqAbCYPsCl@i@AmB]yBSa@`@aAtBa@b@eOhGyCjBgBnAiGjHuBxB}ATwC@u@JYNUXyAhCKHiDfB[@YKc@c@_IsLuCiFoL}PeE{FiDkDaH{J_CyDA]R{@hEgK~@}AVy@f@}BFs@AwAKi@o@aAI_@F_@^kBX_A`@}Bp@wCPm@x@iARa@j@iBl@cCxCaFrCeG~C}ErF_IlCmCjC}CfFeFbBqB|@qAhEwEvCyDd@w@hEsFv@o@dCkA~D{EjAcB~AgBlCiDx@qAzAaBxCoAfC_CtCcDd@OHKXkA`BeClBeFPO^`@bA`@h@`AbElIjSv`@tSbb@bK~RlIxPbE`IzSfb@xUxd@fJfR`[fm@jBdEhBjD~@|ANPZDfABxDSpDm@dA]xCuA`@[^q@jCaGp@iBpByEfFmJv@iAZQH@`CdCpA`Brb@hs@nAzBh@lArA~D^tBXjDPdA^r@Ph@lBpNXnCpAnKZnGHJ`@Wh@Cz@m@t@Y|@i@LD|QvcArPb`A`BvIX|BNd@`M`s@Bj@Ed@eAhB{@tB_CzG{AtDk@rBa@`AIbAP~BAf@q@vDIxBJfA`@z@p@~BFb@N\l@z@V~@LPLAr@m@vBKz@D\Hj@Zp@x@v@bCpK`e@|CbQd@hBbCnGrAxD~@vDN`Al@rB,2,,,
5,2,Mulder Mulder Mulder Mulder,102879.0,12994,23970,151.0,Ride,10.0,5830178348,garmin_push_7345317558,6199535552,2021-08-21T08:39:02Z,2021-08-21T10:39:02Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.229585, 6.573279]","[53.229644, 6.573193]",,,The Netherlands,53.229585,6.573193,41,37,0,1,0,False,False,False,False,followers_only,False,b8041198,False,6199535552,7.917,14.4,22.0,131.5,1708.9,False,True,132.4,187.0,False,True,35.6,-0.8,23,0,False,104.0,4591892,1,a5830178348,{k{cI}ybg@xB{CmAgGla@ck@nIgHxFxCpAm@aIsa@L_AvQoIvDeIzYuHb@gD`DaAd@xBrc@mN~Qy]hDjEhJrFx@{A|Uk_BZsHq@eIdAkIhBeHbRc`@bo@i~BvB{F~GfM}@KvAqDvMar@~CiEWcJfT}fA~IkGpOqu@L{AuBcN~VcoAtCmIxHia@hGm@sFHxPyx@pAwAnCnBlCwDlJyAY}b@~D}BNaQzl@qCdz@YzBrAxB{Av\Lt{@tN|o@h@lGtEhFkQjAeKdNcFtf@k_@|e@o[vJkE~GcIvSsJn[k_@tLyWjWiTpVah@tLi\jFnBbBgG?yLnDkHbKeG|MkT|XcPbFaAnBwDpDqCvFoLvNqQb@gC[qVbN}e@rqA_uCxM{VbAkEzE{FpB{Iij@_{AkDac@D}Kh|D}hHyDa[iC{GDmA`nBglD`DeGLsBxBwA~Zck@b`@yq@fc@sw@fEkL~B{BnRg]tB^`FfLpAx@bAtEtCtCDhBpGxNtB`Czi@}n@`r@t~BJxClIxTx{@fwCbDbHx@fG`mAdbEfKrdBMpKvCt_@GjH_GpRh@rEzS`x@aOrLkBsC_Xz^}V`OkLbY{MnN_Fx@eM{OiHzHsFpn@iDjIc@bDjArMDtd@~Eda@p@dQOdHgAdEmIpHgKzAwAfBtBh`@oWnGwYtBwOkEiStDeHlDoGAaCsR_FeSiJmG}BdNwKvG_NjYk}AtbBc^v^vNeHe@gEy@^iOtRqM~FmNhA}@dZ}BzGkExYkClJc@xKeE~C}@hCVnKoBn@uCwD}Ep_@yCvFyOrKyLx@iGvCkAxB_@bGqAl@mOoBgSoIgOa@oO{EoQgBwXhJeX`]uUdPoX~XmNtAoBxAoKoNgLxCkC`F{ZxcAqHzPmLhKuM`S}m@hq@}PnHoSPov@|_@mFdG}A|F_I|HeMd@}@gBiAeIqTX_NhKsKxNwFzCsM`Bk@pE_ClCP`D_AxDv@tGsA|DyOdLqKiC_NvLmCtDuIxSwH|EiFE_OpNkIvYoe@vPsG~J}NfOuo@xZqEtEk\nJg_@`[sPdG{JtMmPpOmFxZoDb`@iE|ZqFvS}ExKcBfIn@~ItIzPXrCwYxPlAdEiAfGXxCvSb|@~B`MUzBsFL_@vFeQhCoHxDm{@~fAoFdKuMj_@wMbQg`@vUaIjB}N]e@xBaOsG{Ee@eFtCgAwA_KtB}OxGc@qDkPlDwKwBmD}EyAtAuDk@_A`CgRnG_@{Le\lVsBcJwFqO}GtIiD`@{@mByWau@rH}L,2,,,
6,2,Morning 1X,9314.0,3220,3255,0.0,Rowing,,5822312069,garmin_push_7336708556,6191306154,2021-08-20T06:59:26Z,2021-08-20T08:59:26Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.192607, 6.562872]","[53.20176, 6.563556]",,,The Netherlands,53.192607,6.563556,1,10,0,1,0,False,False,False,False,followers_only,False,,False,6191306154,2.893,4.4,,,,,True,72.5,110.0,False,True,2.1,-0.2,0,0,False,33.0,4591892,1,a5822312069,wdtcI}x`g@@SHERASBFMD@@ELIF@BGF?NSDBJQNE?BDGhD{Bt@e@XSz@g@jAk@v@i@ZKb@]v@e@rAq@xBcAf@[z@o@`Ay@dCoCdDsEtA_ChEeLlAsDn@wBz@kC|@qBrB{FNa@h@_AfBcCz@uAh@u@lEkFd@o@vAeBfAiBv@aAv@w@nEyFlCyCtBeDpF_HhBuBbAsA|AaBXi@\c@Z[jAs@`AcAtCkD`@]~AcAz@a@l@SfB[x@KdBQ^@d@Ev@OVIdBw@j@c@p@[DG?BhBk@p@Yz@S`C_AhC}@~DoB|Ae@x@e@tCiAjBw@|@e@ZMv@KLEB?A@?E@?ECE@SRSLeAf@yAz@gCx@wAl@cA^wB`AuBv@}B`AaC~@qA`@mAN}@P_@JO?IJ{@X{@h@}@Pa@N_BNo@@sBLu@AWDu@Re@Re@XeAv@yA~@[Ty@z@q@v@sCdE{BjC}CbEeCxCw@z@mA|Ao@p@MR{AhByAnBiBrB}CzDgAnAs@`A]^w@j@qA|AqClDyFtHw@tAaApB{@hBg@tAiF|OsAnE{@fCi@lAeBxCw@jA{@dAkBxBw@|@e@`@wBdBaAr@oAp@oCdBkAd@uBbBeDvBkAz@s@`@aA^y@Nq@\GAoA`A}@h@_Bh@uARwDX}ADuAGqAMyBi@WCCAGMs@?KCYAUIgBq@w@_@uAk@sC}As@Uy@M{@Gc@D}@RYDQFMPSJ@D@G@D?JFBACC@EO?B,2,59.3,,
7,2,Morning Run,4398.5,1600,1808,4.4,Run,0.0,5805348890,garmin_push_7318314241,6173583053,2021-08-17T05:37:05Z,2021-08-17T07:37:05Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.218538, 6.573211]","[53.21879, 6.574799]",,,The Netherlands,53.218538,6.574799,3,9,0,1,0,False,False,False,False,followers_only,False,g5391684,False,6173583053,2.749,4.8,,,,,True,151.6,169.0,False,True,5.8,1.1,1,0,False,32.0,4591892,1,a5805348890,cjycImubg@g@NUP_@Fo@T{@n@CDYNQRAF[RE?Ub@i@n@m@j@u@^UR[h@OTYzAGr@M`@i@zCQb@]`BIr@OzAI`@_@hCELg@t@c@|@o@x@Ud@YXGL?PKXw@hA_@`@o@hAOLi@nAu@xAi@x@M^MNCH@HXz@APAFo@n@c@Xk@x@o@\]p@_@Lk@^w@\a@`@EJ?LJd@?LWjAIb@?R@|@Fj@NT`@P^Zt@f@Xp@JfA?\H`@@`@Nx@Aj@HjAAfBLtA?r@D\LRNTPLt@JH?j@DV?f@OXCPIf@IVGDE`@GH@TJNBTHT@PED@TMRWPKh@KX?FINi@T]J_@XQb@QnAWl@Yj@EJ@LAb@Fx@MHGR?NGXSREVMNEVSD?LIXMNO@MGISm@OWGc@?OEYQu@?S[}Aa@w@M[?k@C]IUMs@G}@c@oAEg@@_@AGQe@QQIm@GKK_@EWIwAWgBMw@Sy@c@iCSe@Ka@UeBKe@CEOAEEMs@Oi@Ms@OYIKG[Ma@EO?SHo@`@gBPsA^oAHSBOCeAP[Je@P]@MJ_@Pc@@YNg@E_@Tu@@UJQAYFYJOTS`@s@Z[LSh@c@j@q@`@[j@k@F@`@QZ[XOREVSVKF@@Eb@Q,2,76.6,,
8,2,Lunch Ride,47601.0,6678,9045,71.0,Ride,10.0,5796644292,garmin_push_7308929841,6164468204,2021-08-15T10:27:47Z,2021-08-15T12:27:47Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.229318, 6.57349]","[53.218834, 6.57474]",,,The Netherlands,53.229318,6.57474,24,11,0,1,0,False,False,False,False,followers_only,False,b8041198,False,6164468204,7.128,9.5,25.0,100.5,671.1,False,True,124.0,147.0,False,True,17.6,-1.4,5,0,False,27.0,4591892,1,a5796644292,ej{cIi{bg@|@eARHfCdGfDpJn@IrBsCNBnIlVPHf@{@f@uBzBeFrJlc@dDfRjD`Pj@~BbA`Bb@jFhJsDhF}DXb@h@pDlAg@dHpDbLhAtFqDtFwAdGyCrFcAvRw@jD{BhFiCfCYxCZdBp@n[fTvT~IlBbAx@fArAhDtCxM@lBr@jAh@fBnCzMrAhEjBbCzJ~Gz@V|@WpX{Tz@DzIpShAnBFpAGnDn@d@~AEjAdb@L|@b^i^vUuBfHoBvKd@nMnDzHcDlC_DtA_@dA^n@dAxEpSh@lAfB`AhBfB~@Lt@M`B_BjAk@V~@z@t@bArBHv@Eh`@VdC`@n@tA_@re@hGfJRdBKp@]bAeBbBuEbAaA|@WdXJhEz@~Bg@xCrBv_@`MnMjFjNf@lAn@p@qATK`An@lCq@~@Jv@xAfBbMNhIMxE`CrLL|Bx@nBjBdMhAvCh[f_@tFjMxDzNpBxNnTvpBPj@xE}@n\_Adr@s^tGsEpIvWbErLdCjJxDlJLlAv@vAtAn@xP|Vt@x@`ChAQhCF^fBbAzJzNtBrBjNrSf@AfVvIfFlCvKpDr@x@pOjCnPgA|Dq@~A}BnDcC?`Cb@KAi@qA{F@c@m@qCiI_]wMyUcRi_@gJwPgDoHyBwDqAeD_CyDOEOZa@YcCuEmDgLUiA]}I[kDAyCu@yHsBuLuDaXe@kBkIep@kEqXq@}CmNuc@wBoI}Had@yF_ZZy@C[_Hwb@eFoNc@qK}EiFwCx@]gAo@y@iBaAa@mBHyAMOm@?{An@gBGsHiFwY{a@sAuDmAyGgAwDsAZqHs@gA`@oFjGgD~@s@i@}DmKe@k@yPa@mFfBs]hQ_ANq@u@yA{I_Kyr@kA}D{CaHs@aAi@IiEMeATyAbAyB~Ci@TeFiA{C|@aBLsG`EqHvGkC`@sBbAk@?iBkAkBc@_Dg@kDEoIwAuQeAiJd@yFwBeDcEIaASc@kAZ{JcCoCUoKR_B~@uFvHsAdAgT~FyA?mAg@c@b@o@yBm@g@i@}Am@gF_R}w@_GqUoC}McCqQeGwPqAaBuBg@aAg@u@}@w@kB[kCcDz@aLtAqIvEaExF}u@n`AyDjHwLr]gBpD_E`G{EzEsBxA{XzP}HpCiIp@eHq@a@rBaF_BeGsCeFeAmADq@hAgCz@i@gAqABg@qAkDh@Yc@s@HQM[qBcHvE{G~CWk@_Lyy@eMfFoC`Cs@PuAsA}CuMwEiL}BeBm@bB,2,,,
9,2,Evening Run,6629.5,2003,2052,5.3,Run,0.0,5782550581,garmin_push_7293749838,6149641910,2021-08-12T18:33:32Z,2021-08-12T20:33:32Z,(GMT+01:00) Europe/Amsterdam,7200.0,"[53.21894, 6.57521]","[53.220798, 6.577912]",,,The Netherlands,53.21894,6.577912,0,9,0,1,0,False,False,False,False,followers_only,False,g5391684,False,6149641910,3.31,6.0,,,,,True,160.0,176.0,False,True,2.2,-1.6,0,0,False,56.0,4591892,1,a5782550581,c`ycIovcg@Je@`@[LON_@Ds@Ce@GYA_@SmBq@mCIgAm@{CQo@UoA]oAi@aCa@eCaAoEQyAOu@Mc@WyAmA{FWy@Ee@YgAWcBUcAOcAOk@{@sEgA{EUkAMc@a@o@O]WqAUiBEQIMKEQJ{BtBeAjAQLKDGCKQ}@oEGMECC@s@v@qChCiBtAOTy@r@wAz@mBbBk@p@Oh@GLsAhAYHK?c@SQSIQYyBY{@i@kAGi@?i@EMOEa@CK@ONy@hAEBCA{@qBSa@G]TsA?w@[wCOeAGWg@{DWsCKc@m@o@c@{@[{ACm@BODGvAm@LMV{@ZaCZw@FeA@k@f@a@Pk@RMbAaANYFUB_@GkA?o@E_@c@}@]aACS@[\u@Fe@O_DG{@Ki@Ck@Ig@_@kACEQ@ECGOg@qCAm@FFC@CA@@CK@GBBCCY}AGIsAlAUJa@FIHENMtAGPSREP?HLv@Vv@NlAHXLRLp@Tx@Jz@F|@NhAEPCDa@NOLIX?r@G\MPUHUNGJCNF`AERIJe@PULEL?Z@PLf@XrBNl@X`BHvAN|A`@~BB\Jh@b@bBRb@PNNFHFN^TrANnBPlAJl@HfAPjAZnC@z@S~@APBPJXj@|@HVLRFBROJa@R[NAt@BD@FLNd@Ff@TfA`@vAX|AT\XHFJ@HGx@VfANdAh@rBVt@L|CDd@Rf@\l@Rt@NJB?DEPEPHNRTp@p@|DJx@f@vBJn@h@dENj@Fl@Dr@f@nBZt@HLNLd@KJKJU\c@v@y@v@eAJGD?RLpBhBl@fAN`@f@`B~@~BLTBRAp@H`AHXBb@Nh@Jr@?^Hv@LTRN\jAF\HJ\R,2,80.9,,
